1000000002,100006,2
1000000002,100011,1
1000000003,100001,1
1000000003,100005,2
1000000003,100011,2
1000000005,100005,1
1000000006,100501,2
1000000010,100001,3
1000000018,100032,1
1000000024,101094,1
1000000031,100995,1
1000000035,101413,1
1000000474,101094,1
1000000508,103192,1
1000000576,102703,1
1000000665,103139,1
1000000002,100002,1
1000000003,100002,6
1000000010,100002,1
1000000023,100821,1
1000000023,102112,1
1000000023,103587,1
1000000031,100993,1
1000000031,101160,2
1000000031,101533,1
1000000031,103234,1
1000000031,103236,1
1000000031,103296,1
1000000031,103609,1
1000000297,100571,1
1000000298,102967,1
1000000397,100736,1
1000000501,102726,1
1000000505,101560,1
1000000534,101817,1
1000000567,102159,1
1000000576,103349,2
1000000634,102917,1
1000000634,102918,1
1000000657,101801,1
1000000740,103571,3
